,section-0-question-0,section-0-question-1,section-0-question-2,section-0-question-3,section-0-question-4,section-0-question-5,section-0-question-6,section-0-question-7,section-0-question-8,section-0-question-9,section-0-question-10,section-1-question-0,section-0-question-11,section-1-question-1,section-0-question-12,section-1-question-2,section-0-question-13,section-1-question-3,section-1-question-4,section-1-question-5,section-1-question-6,section-1-question-7,section-1-question-8,section-1-question-9,section-2-question-0,section-2-question-1,section-2-question-2,section-2-question-3,section-2-question-4,section-2-question-5,section-2-question-6,section-2-question-7,section-2-question-8,section-1-question-10,section-1-question-11,section-1-question-12,section-1-question-13,section-1-question-14,uid,sid,control,transitionType,interfaceID
137,5,5,4,3,2,4,5,5,2,2,6,Somewhat agree,5,Strongly agree,4,Strongly agree,3,Without knowing what the interface is for it's hard to make suggestions.,Strongly agree,Maybe make all the points with a larger target dot.,Somewhat disagree,Somewhat agree,Give broader ranges with each target.,Neither agree/nor disagree,36,Female,"Everyday, during a majority of business hours",Rarely,Poker,A trackpad,Nothing of note.,Trackpad buttons,Standard double button system.,Seems like this would be doable with an assistive device like a joystick.,Strongly agree,Somewhat agree,Strongly disagree,Large target ranges and short distances from the center.,Zoa6F5tttjgIzbBTvWLS5OPr1QL2,-MGst7BcG1VSjiZomhHV,targetdrag,click,targetdrag-click
138,6,4,2,5,3,4,5,5,3,3,7,Somewhat disagree,5,Somewhat agree,5,Somewhat agree,4,It could be labeled on the arrows to indicate which direction you can move it.,Somewhat disagree,Don't require clicking on it to move it and stop it from moving.  Just allow a person to drag and drop it where they want it.,Strongly agree,Strongly disagree,Don't require it to be locked into position and submitted with the final click.,Somewhat disagree,41,Male,"Everyday, during a majority of business hours",Rarely,Card games or puzzles.,A mouse,,Mouse buttons,,Make it controllable by voice command.,Somewhat agree,Strongly disagree,Strongly agree,Allow for micro adjustments with the arrow keys.,ZuVhFC4Ou7W7ATH5eDFZcWKdr5g1,-MHOMbJrRZhC_lODJMxl,arrow,click,arrow-click
139,6,7,5,7,6,5,6,7,1,1,7,Neither agree/nor disagree,6,Somewhat disagree,7,Neither agree/nor disagree,6,pay more attention,Somewhat disagree,Try to understand as fast as possible ,Neither agree/nor disagree,Somewhat disagree,stay calm,Neither agree/nor disagree,28,Male,"Everyday, during a majority of business hours","Everyday, a few hours",video game,A mouse,I always prefer to use mouse because It makes it more faster ,Mouse buttons,mouse make everything to be more perfect,stay away from anything that can distract you,Somewhat disagree,Neither agree/nor disagree,Somewhat disagree,NA,Zyvm7XT9OmYzl9QB35lqqsP2lLh2,-MGz73jbpDVXyPOV2dEA,targetdrag,press/release,targetdrag-press/release
140,2,1,3,1,1,1,2,3,2,1,2,Strongly agree,7,Strongly agree,7,Strongly agree,1,I thought all the controls were self explanatory. I don't see a way to make them clearer unless you wanted to outright label them.,Strongly agree,There could be a way to fine tune the movement speed maybe?,Strongly disagree,Strongly agree,I thought the buttons were responsive and I liked the way they functioned when clicked. Any errors were just due to me waiting to long to click. I don't see a way to reduce errors.,Strongly agree,30,Male,"Everyday, a few hours","Everyday, less than an hour",Shooters,A mouse,It is just a normal mouse,Mouse buttons,,I thought with the way it worked of continuing to move until the command or another was clicked worked well for accessibility.,Somewhat agree,Strongly disagree,Somewhat disagree,I thought it worked quite well and found the task very easy. I would say it is quite good as is. Maybe a speed setting that determines how quickly it moves.,a8tciMQrJuhMtLLZp9hhMsfdjEg2,-MHO1yzLlJdhkr7ouLa0,panel,click,panel-click
141,2,1,1,2,1,3,2,2,1,1,3,Strongly agree,7,Strongly agree,7,Somewhat agree,1,No suggestions ,Strongly agree,No suggestions for improvement,Strongly disagree,Strongly agree,No suggestions,Strongly agree,24,Male,"Everyday, during a majority of business hours","Everyday, a few hours",MMORPGs,A mouse,Nothing else,Mouse buttons,Nothing else,No suggestions for better accessibility,Strongly agree,Somewhat agree,Somewhat agree,No,aTPSNAP418UMfV892YIIf0OhjNB3,-MHOAdxlCRUESD9zDfxV,arrow,press/release,arrow-press/release
142,4,4,4,5,5,5,5,4,5,4,5,Neither agree/nor disagree,5,Neither agree/nor disagree,5,Neither agree/nor disagree,5,"We don't have to spend time reading instruction manuals to figure out how it works, we just use it, and it works. It's simple. Intuitive is a quality that every designer strives for in their work",Neither agree/nor disagree,"We don't have to spend time reading instruction manuals to figure out how it works, we just use it, and it works. It's simple. Intuitive is a quality that every designer strives for in their work",Neither agree/nor disagree,Neither agree/nor disagree,NOTHING,Neither agree/nor disagree,44,Male,"Everyday, during a majority of business hours","Everyday, a few hours",VIDEOGAME,A mouse,"In computer user interfaces, a cursor is an indicator used to show the current position for user interaction on a computer monitor or other display device that will respond to input from a text input or pointing device",Mouse buttons,"In computer user interfaces, a cursor is an indicator used to show the current position for user interaction on a computer monitor or other display device that will respond to input from a text input or pointing device","YES , I HAVE MORE INFORMATION",Neither agree/nor disagree,Neither agree/nor disagree,Neither agree/nor disagree,ITS GOOD,arXQ3rVEwqVSQqj2LnsfGRKNqCh1,-MHO4JyeA-gEd5eElkRe,panel,press/release,panel-press/release
143,3,4,1,1,2,5,4,4,2,5,3,Somewhat agree,5,Neither agree/nor disagree,5,Strongly agree,5,Easier colors to distinguish moving parts?,Somewhat agree,"Nothing, clicking on it seems fast enough.",Somewhat disagree,Somewhat agree,"Nothing, there wasn't many errors.",Somewhat agree,36,Do not wish to share,"Everyday, during a majority of business hours","Everyday, a few hours",PC games,A mouse,None,Mouse buttons,None,"Nothing, anyone with mouse can click on the clock with their cursor.",Strongly agree,Somewhat agree,Somewhat disagree,None,awM99OLYa0UpA97C9mtAV0aGjXR2,-MGsrp-CeyMVw8IZjvDT,drag,click,drag-click
144,2,2,2,2,2,2,2,2,1,1,2,Somewhat agree,2,Somewhat agree,2,Somewhat agree,2,adding coloring,Somewhat agree,make it easy to rotate the whole object,Somewhat disagree,Neither agree/nor disagree,increase the response speed,Somewhat agree,28,Male,"Everyday, during a majority of business hours",Rarely,play station,A mouse,,Mouse buttons,,I don't know,Neither agree/nor disagree,Somewhat disagree,Neither agree/nor disagree,,bCVoet7eS0beWut8b64Da2VB0Fk1,-MHOQC0a_INXgJKgHnAE,drag,click,drag-click
145,6,4,6,4,5,3,5,4,3,6,7,Neither agree/nor disagree,2,Strongly agree,3,Somewhat agree,5,ok,Somewhat agree,good,Neither agree/nor disagree,Strongly agree,fine,Neither agree/nor disagree,32,Male,"Everyday, during a majority of business hours","Everyday, a few hours",fine,A mouse,yes,Keyboard,yea,yes,Somewhat disagree,Neither agree/nor disagree,Somewhat agree,fine,bHTjtr3sq2gVjPwsaXVqtzMgD7C3,-MHOLFCl9BUy2WODsmBv,arrow,click,arrow-click
146,5,4,3,4,5,4,5,5,4,3,6,Somewhat agree,5,Somewhat agree,6,Somewhat agree,2,all good,Somewhat agree,all good -easy,Strongly disagree,Strongly agree,easy to return if going in incorrect position,Neither agree/nor disagree,51,Female,"Everyday, during a majority of business hours","Everyday, less than an hour","word /card games, cubis",A mouse,"easy for me to use mouse, not best with track pad",Mouse buttons,,not sure what interface between instrument controlling cursor,Somewhat agree,Strongly disagree,Strongly disagree,all good simple for my purposes,bHoSRq0PWdNqM00dR798rv7jhAj2,-MGss50CCuCGYjLrBSD1,drag,press/release,drag-press/release
147,5,3,2,3,4,3,5,5,2,1,7,Neither agree/nor disagree,6,Strongly agree,6,Strongly agree,3,The interface is just perfect ,Strongly agree,No improvement.. It's perfect ,Somewhat disagree,Somewhat agree,I did not notice any errors,Neither agree/nor disagree,43,Female,"Everyday, a few hours",Once or twice a week,Football games ,A mouse,I used a mouse to move cursor on my computer,Mouse buttons,I used a mouse ,,Strongly agree,Somewhat disagree,Somewhat disagree,,bRowww6AVrU7UfuJiGNyJHTCfqh2,-MGso6X6rXCS02Mues6o,target,click,target-click
148,4,4,3,1,3,2,1,3,3,2,4,Neither agree/nor disagree,6,Somewhat agree,6,Strongly agree,2,have blinking instructions the first time for the white wheel,Somewhat agree,USing the keyboard arrows would be easier to move it,Neither agree/nor disagree,Somewhat agree,Somtimes the wheel kept spinning even when I clicked again.,Strongly agree,28,Female,"Everyday, a few hours",Once or twice a week,simms,A mouse,I used a wireless mouse.,Mouse buttons,I used a wireless mouse.,Using the arrow keys would be better.,Strongly agree,Strongly agree,Strongly agree,Make the target a little less transparent.,bUIQveSioHZKYtggN11iL0ROf2K3,-MGsrBrgRqS2adbl-rMO,arrow,press/release,arrow-press/release
149,4,2,3,1,3,2,3,2,4,2,4,Somewhat agree,7,Neither agree/nor disagree,7,Strongly agree,4,It is already better study.,Somewhat agree,It is already better study.,Strongly agree,Somewhat agree,It is already better study.,Somewhat agree,42,Female,"Everyday, a few hours","Everyday, a few hours",Puzzle,A mouse,Nothing,Mouse buttons,Nothing.,It is already better study.,Strongly agree,Somewhat agree,Strongly agree,It is already better study.,bdd3pHsnkyLqU1OehLawNNR6mCL2,-MHOe5qoR9In2yEFTSVB,panel,press/release,panel-press/release
150,7,6,7,6,7,6,7,7,6,7,7,Strongly agree,6,Somewhat agree,7,Strongly agree,7,nothing,Strongly agree,nothing,Neither agree/nor disagree,Somewhat disagree,nothing,Neither agree/nor disagree,39,Male,"Everyday, a few hours","Everyday, less than an hour",lenovo,A mouse,good,Mouse buttons,good,nothing,Neither agree/nor disagree,Somewhat agree,Somewhat disagree,good,brRHv4Yv0beZRgmJfogKGnUKXU42,-MGz77lseG_7I_sj1YAP,arrow,click,arrow-click
151,5,4,5,5,6,5,5,6,6,4,6,Strongly agree,6,Somewhat agree,6,Strongly agree,5,n/a,Strongly agree,none,Somewhat agree,Strongly agree,n/a,Somewhat agree,47,Male,"Everyday, during a majority of business hours","Everyday, less than an hour",nothing,A mouse,n/a,Mouse buttons,none,n/a,Somewhat agree,Neither agree/nor disagree,Somewhat agree,nothing,cVj9RC3YlwOtYJ2IMaD09PWYMIk1,-MGyy39o2vKvfBu9ub4t,targetdrag,press/release,targetdrag-press/release
152,5,6,7,7,6,7,6,7,6,6,5,Somewhat disagree,5,Neither agree/nor disagree,6,Somewhat agree,7,good,Neither agree/nor disagree,good,Strongly disagree,Somewhat disagree,good,Neither agree/nor disagree,25,Male,"Everyday, during a majority of business hours","Everyday, a few hours",gta,A mouse,good,Trackpad buttons,good,god,Neither agree/nor disagree,Somewhat agree,Strongly agree,good,cs3Ht5TViJY1glgfdF4lqd0KkvQ2,-MGsvAsGhLbhBSBr2dOZ,arrow,press/release,arrow-press/release
153,5,3,4,6,4,5,4,5,3,3,4,Somewhat agree,5,Neither agree/nor disagree,4,Somewhat agree,2,observe to particular think,Neither agree/nor disagree,no need,Somewhat disagree,Neither agree/nor disagree,more attentive,Somewhat agree,29,Male,"Everyday, during a majority of business hours",Once or twice a week,racing,A mouse,no,Mouse buttons,no,can use also to improve that,Neither agree/nor disagree,Somewhat agree,Neither agree/nor disagree,nothing,dK7tCNHvNjUIywancYtXbPBvyCh1,-MHO3C3jnZLLOTEJ88iY,drag,press/release,drag-press/release
154,5,6,5,3,5,3,7,5,3,4,4,Neither agree/nor disagree,6,Somewhat disagree,2,Neither agree/nor disagree,5,fine,Somewhat agree,fine,Somewhat disagree,Somewhat disagree,no,Neither agree/nor disagree,69,Female,"Everyday, a few hours","Everyday, a few hours",yes,A mouse,yes,Keyboard,yes,fine,Somewhat disagree,Somewhat agree,Neither agree/nor disagree,ok,dNawxj8nZCR8ivZO1Yocm4kkfJB3,-MHOEOyUm5lpIIpbSCQt,arrow,press/release,arrow-press/release
155,7,7,6,7,5,7,6,5,1,1,7,Strongly agree,7,Somewhat agree,7,Strongly agree,4,very high improud,Strongly agree,yes,Somewhat disagree,Neither agree/nor disagree,good,Somewhat agree,36,Male,"Everyday, a few hours","Everyday, less than an hour",online games,A mouse,mouse,Mouse buttons,mouse buttons,good,Strongly agree,Somewhat agree,Neither agree/nor disagree,yes high improved,dpcsNrs4X4OPUtchDvSewaWlWqJ2,-MGstzYf0B_ihLqOfHZA,panel,press/release,panel-press/release
156,6,6,6,6,6,6,6,5,5,5,6,Neither agree/nor disagree,4,Neither agree/nor disagree,5,Somewhat agree,6,nil,Neither agree/nor disagree,good,Somewhat agree,Somewhat agree,nil,Neither agree/nor disagree,37,Female,"Everyday, a few hours","Everyday, a few hours",pubg,A mouse,nil,Mouse buttons,nil,good,Somewhat agree,Somewhat agree,Somewhat agree,nil,dw9eJNDIyzPbZJiy36gDx939Uqt1,-MGt-SOLoCgaE2IE4qMb,arrow,click,arrow-click
157,4,5,5,4,4,5,5,5,4,5,4,Neither agree/nor disagree,4,Somewhat agree,5,Somewhat agree,4,nonne,Somewhat agree,none,Somewhat disagree,Neither agree/nor disagree,none,Neither agree/nor disagree,24,Female,"Everyday, less than an hour",Once or twice a week,yes,A pointing stick,yes,Mouse buttons,yes,none,Neither agree/nor disagree,Neither agree/nor disagree,Neither agree/nor disagree,good,fFX9OAVjzzT90FtrwDgZ1lNCBPD3,-MGyzmCCCv9AREzrH6bj,drag,press/release,drag-press/release
158,5,6,5,5,4,5,6,5,5,4,5,Somewhat agree,5,Somewhat agree,4,Neither agree/nor disagree,5,good,Somewhat agree,good,Neither agree/nor disagree,Somewhat agree,good,Somewhat agree,48,Male,"Everyday, a few hours","Everyday, less than an hour",nice,A pointing stick,nice,Mouse buttons,nice,good,Neither agree/nor disagree,Neither agree/nor disagree,Somewhat agree,good,fk0jG9eYtNOZcz0quPtUKAQ86iI2,-MJdLauIt4a1BrhY-N4R,panel,press/release,panel-press/release
159,7,4,4,5,5,5,5,5,1,3,4,Neither agree/nor disagree,7,Strongly agree,6,Somewhat agree,4,it was good and intuitive now itself..,Somewhat agree,it was bit faster but the task must be slow.,Strongly agree,Neither agree/nor disagree,it must be reduce errors for good result.,Somewhat agree,25,Male,"Everyday, a few hours","Everyday, a few hours",online games.,A mouse,mouse was so comfortable to use.,Mouse buttons,the buttons are user friendly.,the task must be bit easier.,Somewhat agree,Somewhat agree,Neither agree/nor disagree,this one is good.,fxpLNLXiVVOEAwZrGj668mRFYNp1,-MGyyt5P9X4l3y3L-RHD,targetdrag,press/release,targetdrag-press/release
160,6,5,7,6,4,4,7,5,1,1,7,Neither agree/nor disagree,7,Somewhat agree,6,Somewhat agree,4,already improved,Somewhat agree, Already Good improved ,Somewhat agree,Neither agree/nor disagree,N/A,Neither agree/nor disagree,30,Male,"Everyday, a few hours","Everyday, a few hours",sports game,A mouse,correct side move,Mouse buttons,correct side move,N/A,Neither agree/nor disagree,Somewhat agree,Neither agree/nor disagree,Already improved control interface.,gRn94BlHCIRe7RCeapw9hi0N9Bj1,-MGtFLuWNWSN0PLH8Rdc,drag,click,drag-click
161,7,5,1,1,1,2,5,5,1,1,7,Strongly agree,7,Strongly agree,6,Strongly agree,1,"The video in the beginning helped a lot. If anything, summarized instructions for use of controls on the side or top would help people who still didn't understand.",Strongly agree,It was fast enough as is.,Strongly disagree,Strongly agree,It is fine as it is. ,Neither agree/nor disagree,25,Female,"Everyday, during a majority of business hours",Rarely,Simulation games,A trackpad,NA,Trackpad buttons,NA,There is nothing to improve.,Strongly agree,Somewhat disagree,Somewhat disagree,No.,gmzwXDdS62X6ror4r6invDvAF3g2,-MGyp5REnlLK1cQO5M8f,arrow,click,arrow-click
162,7,6,7,6,7,6,7,6,7,6,7,Strongly agree,6,Somewhat agree,5,Strongly agree,6,very excellent,Strongly agree,very nice,Strongly agree,Somewhat agree,slow,Strongly agree,42,Female,"Everyday, during a majority of business hours","Everyday, a few hours",pubg,A mouse,nothing,Keyboard,nothing,yes better,Strongly agree,Somewhat agree,Strongly agree,nothing,gxqZAlFITFST5nbAdewfRTOiWlj2,-MGsvyQhRLp3meRFUCOr,targetdrag,press/release,targetdrag-press/release
163,6,7,4,6,3,6,6,4,5,5,4,Strongly agree,5,Somewhat agree,6,Somewhat agree,3,none,Strongly agree,none,Somewhat agree,Somewhat agree,none,Strongly agree,32,Male,"Everyday, less than an hour",Once or twice a week,freefire,A pointing stick,none,Keyboard,none,timing manage,Somewhat agree,Strongly agree,Somewhat agree,none,hCLqGOVQV8N8s1x06BSEhqcUq6J3,-MGyxxShlBE5sn3pwUt-,drag,click,drag-click
164,2,2,1,4,1,4,1,4,1,1,3,Strongly agree,7,Strongly agree,4,Strongly agree,2,"It's pretty good, don't think it needs any changes",Strongly agree,the only thing i can think of is to move mouse pointer to the correct position,Strongly disagree,Neither agree/nor disagree,i haven't seen any errors,Neither agree/nor disagree,36,Male,"Everyday, during a majority of business hours",Once or twice a week,"strategies, RPG",A mouse,"mostly mouse, sometimes trackpad",Mouse buttons,"mostly mouse, sometimes trackpad",I'm not sure about this. Not familiar with any ssistive devices,Strongly agree,Strongly disagree,Strongly disagree,"It's pretty easy to use, no changes needed",hkDmiScltrYqW8U5mm8R62d7ltH3,-MGsnjs-bZDuIW0cGk1G,targetdrag,press/release,targetdrag-press/release
165,6,6,4,4,6,6,6,5,2,3,7,Somewhat agree,4,Strongly agree,3,Strongly agree,4,It was easy enough to understand for me. I'm not sure how it could be made more intuitive.,Strongly agree,"Maybe allow the space bar to stop the object, rather than having to push the same button. This might reduce strain on the dominant hand and allow the worker to work more efficiently.",Somewhat disagree,Strongly agree,"Sometimes it seemed that the interface accepted by positioning of the object when it wasn't quite where I thought it should be; I'm not sure if that was just me, though.",Somewhat agree,37,Female,"Everyday, during a majority of business hours",Rarely,N/A,A mouse,Wired mouse,Mouse buttons,,"Make the space bar available to use, or any button of the user's choice.",Strongly agree,Strongly agree,Strongly disagree,,i0lH5J577YOZvkdvi54ZIuVO5g63,-MHOJVuibi9qcwLdp1JG,panel,click,panel-click
166,5,5,4,5,4,5,5,4,1,2,5,Neither agree/nor disagree,3,Somewhat agree,4,Somewhat agree,4,the interface is good enough,Somewhat agree,the interface is good enough,Somewhat agree,Somewhat agree,the interface is good enough,Somewhat agree,27,Male,"Everyday, during a majority of business hours",Rarely,,A mouse,,Mouse buttons,,the interface is good enough,Neither agree/nor disagree,Strongly disagree,Strongly disagree,no,i11mdlNQWfa5rZPnTx9Z0nxGrWD2,-MHO1Omt7BpRU9ZRHpWN,target,click,target-click
167,6,5,6,6,5,6,4,6,2,1,7,Neither agree/nor disagree,6,Somewhat agree,4,Somewhat agree,4,no,Somewhat disagree,no,Neither agree/nor disagree,Neither agree/nor disagree,reducing speed,Somewhat disagree,35,Male,"Everyday, during a majority of business hours","Everyday, less than an hour",pubg,A mouse,no,Mouse buttons,no,nothing,Somewhat agree,Strongly agree,Somewhat agree,no,i1S7UPahDZO4YGAgZ35A3RnO8YL2,-MGsrlAjiQE_tPOsxHLl,panel,click,panel-click
168,2,1,1,1,1,1,2,2,2,1,1,Neither agree/nor disagree,7,Strongly agree,6,Strongly agree,2,I found it very simple. I don't know of any way to improve it,Strongly agree,If a mistake was made  but it was in the designated area it could have left in in rotation mode instead of moving it again,Strongly disagree,Strongly agree,The only errors I found were when I made a mistake,Somewhat agree,34,Male,"Everyday, during a majority of business hours","Everyday, a few hours",RPG,A mouse,wireless ,Mouse buttons,,,Strongly agree,Somewhat disagree,Strongly disagree,,iCFMGtTIhVe5ypcmGQ4qZ8MkTjq2,-MHOrSQRp1U2hZL8SQiM,targetdrag,click,targetdrag-click
169,2,2,2,3,3,3,4,3,4,3,5,Somewhat agree,5,Somewhat agree,3,Somewhat agree,4,Very good interface,Somewhat agree,Very good interface,Somewhat disagree,Somewhat agree,Very good interface,Somewhat agree,39,Female,"Everyday, during a majority of business hours",Rarely,,A mouse,,Mouse buttons,,Very good interface,Somewhat agree,Somewhat disagree,Somewhat disagree,,iCXk2nYY0GhvH3tN5OE3K2GVPpm1,-MGsq-TOSlKsvx6UtcDy,arrow,click,arrow-click
170,6,3,4,6,3,4,5,6,2,5,4,Somewhat agree,4,Neither agree/nor disagree,6,Somewhat disagree,4,GOOD,Neither agree/nor disagree,BEST,Somewhat agree,Neither agree/nor disagree,NOPE,Somewhat agree,37,Male,"Everyday, a few hours","Everyday, a few hours",,A mouse,,Mouse buttons,,,Neither agree/nor disagree,Somewhat agree,Neither agree/nor disagree,,iEhB3WNGj7WGUJfuBRhe5ynglfG3,-MGyru0U2hRX6AqHsw79,target,click,target-click
171,6,1,1,7,1,1,7,6,1,1,7,Somewhat agree,7,Strongly agree,7,Somewhat agree,1,nice task is perfect,Somewhat agree,nice task is perfect,Neither agree/nor disagree,Neither agree/nor disagree,nice task is perfect,Neither agree/nor disagree,61,Male,"Everyday, less than an hour","Everyday, a few hours",truck game,A mouse,mouse is move the object,Mouse buttons,select the object cilck the mouse point,nice task is perfect,Somewhat agree,Somewhat agree,Somewhat agree,"nice task is perfect
",iK03GJhWNThW2uDo6pZnk684GBe2,-MHOXfwErDT_TMEhJi3N,target,click,target-click
172,5,2,6,6,2,5,6,4,6,4,6,Somewhat agree,5,Strongly agree,7,Somewhat agree,5,the task could easy to understanding,Somewhat agree,already it can be easy to move faster to the object,Neither agree/nor disagree,Somewhat agree,first move the circle to the object and rotate the given to the appear object,Somewhat agree,35,Male,"Everyday, a few hours",Once or twice a week,GTA,A mouse,easy to use the mouse,Mouse buttons,mouse buttons are clicking for appropriate dimensions,slightly,Somewhat agree,Neither agree/nor disagree,Neither agree/nor disagree,nothing to be change,iRh2gycmKJM44GWOJxXxsPLYSrz1,-MHOKAVgnDdGjPpJdQS3,arrow,click,arrow-click
173,7,2,3,4,2,4,4,3,5,7,7,Somewhat agree,7,Strongly agree,7,Strongly agree,7,Not needed,Strongly agree,Like easy usable ,Neither agree/nor disagree,Neither agree/nor disagree,Patience,Somewhat agree,31,Male,"Everyday, during a majority of business hours",Once or twice a week,,A mouse,,Mouse buttons,,,Somewhat agree,Strongly disagree,Strongly disagree,,iTfwoINHajgtU3LqG5iDOKVKtpA3,-MHO2biMDp1AOBsmOq0Z,arrow,press/release,arrow-press/release
174,5,2,2,4,3,5,3,6,2,2,4,Somewhat agree,6,Strongly agree,6,Strongly agree,4,I feel relaxed,Strongly agree,Very interesting,Somewhat disagree,Somewhat agree,Guide is so simple,Strongly agree,43,Female,"Everyday, during a majority of business hours","Everyday, a few hours",Firing,A mouse,,Mouse buttons,,Easy ,Strongly agree,Neither agree/nor disagree,Somewhat agree,Simple guide,if8YpIUYBgZVqeSdgHD2eKcxcnp1,-MHOM0Ys3ELhVCGIucWz,targetdrag,click,targetdrag-click
175,7,6,5,6,7,6,6,4,6,6,6,Somewhat agree,6,Somewhat agree,7,Strongly agree,5,good,Somewhat agree,good,Somewhat agree,Neither agree/nor disagree,good,Somewhat agree,39,Male,"Everyday, a few hours","Everyday, a few hours",pubg,A mouse,very useful and very easy method,Keyboard,good,good,Somewhat agree,Strongly agree,Somewhat agree,good,ihqmaJVFYNapL6QXcDLWeQnOwdk1,-MHOCzoEd-890lHGp8th,panel,click,panel-click
176,6,5,6,5,5,6,5,6,5,5,4,Somewhat agree,6,Neither agree/nor disagree,5,Neither agree/nor disagree,6,it was more intutive,Neither agree/nor disagree,it was faster so it is good,Neither agree/nor disagree,Somewhat agree,there was no error,Neither agree/nor disagree,26,Female,"Everyday, less than an hour",Once or twice a week,fornite,A mouse,,Mouse buttons,,it was better,Somewhat agree,Neither agree/nor disagree,Somewhat agree,this control was so good.,j2phzdOpOGUUrODW4el5E2W0QBF3,-MGyseZCirYHIg0i3tFO,arrow,click,arrow-click
177,7,7,6,7,7,6,7,6,7,6,6,Strongly agree,7,Strongly agree,6,Somewhat agree,7,good,Strongly agree,good,Somewhat agree,Strongly agree,good,Strongly agree,27,Female,"Everyday, during a majority of business hours","Everyday, a few hours",rummy,A mouse,good,Mouse buttons,good,good,Strongly agree,Somewhat agree,Strongly agree,good,j7G8GEtU0dhFgQidHvLx2ngQkd22,-MGt5uCWewVJN3nYk8Th,targetdrag,click,targetdrag-click
178,2,2,2,1,1,1,3,2,2,1,4,Strongly agree,7,Strongly agree,7,Strongly agree,1,"maybe make the arrow ""free flowing"" so that you can move it however you want",Somewhat agree,free flowing arrow,Strongly disagree,Neither agree/nor disagree,i didn't encounters errors so i'm not sure....perhaps make it so that it doesn't advance automatically after not a perfect match,Neither agree/nor disagree,31,Male,"Everyday, a few hours",Once or twice a week,"shooting,sports,rpg",A trackpad,nothing remarkable,Trackpad buttons,,not sure how it could be improved,Somewhat agree,Neither agree/nor disagree,Neither agree/nor disagree,don't know,j8FFlvO3m8cSVMf9oqGjvn9vuE52,-MGysKra_vNFZQeAxLOY,arrow,press/release,arrow-press/release
179,7,5,6,7,6,7,6,7,6,2,7,Strongly agree,5,Somewhat agree,6,Strongly agree,5,Good,Strongly agree,Nice,Somewhat agree,Strongly agree,Good,Somewhat agree,63,Male,"Everyday, during a majority of business hours","Everyday, a few hours",Clock,A mouse,Moving cursor,Keyboard,typing and use ,Very Good,Somewhat agree,Strongly agree,Somewhat agree,Very improved,j9LQddaCaJgL8xZK38ja7vERkHV2,-MH-XYkxKw6EiI18_IiQ,arrow,click,arrow-click
180,6,6,3,1,1,1,5,6,3,2,6,Strongly agree,4,Strongly agree,3,Strongly agree,4,Nothing that I can think of. ,Strongly agree,Nothing that I can think of. ,Strongly disagree,Strongly agree,I think it would have been helpful to me if the movement stopped by clicking anywhere rather than having to click the same arrow as when you started it. A couple times I was watching the object and didn't realize my mouse had drifted just slightly off the arrow and I missed my stopping point.,Strongly agree,34,Female,"Everyday, a few hours",Once or twice a week,"Word Puzzles, trivia, boggle",A mouse,,Mouse buttons,,Nothing that I can think of. ,Strongly agree,Somewhat disagree,Strongly agree,Nothing that I can think of. ,jKsWXj9wBPaBx4lf8Eu54ptdZt92,-MHOCuBK_d7V_9JDx4cZ,panel,click,panel-click
181,7,6,5,7,7,6,7,7,1,7,7,Somewhat agree,6,Strongly agree,6,Somewhat agree,7,Nothing,Somewhat agree,Nothing,Somewhat disagree,Strongly agree,Nothing,Strongly agree,66,Male,"Everyday, during a majority of business hours","Everyday, less than an hour",I play a best graphic games,A mouse,Nothing,Mouse buttons,Nothing,Nothing,Strongly agree,Somewhat agree,Somewhat agree,Nothing,jO9X5Pe8i4fL1Nlx9mrhQPgLzy32,-MHOBpfUnNMOF-xkcula,arrow,press/release,arrow-press/release
182,7,6,7,7,4,6,3,6,1,1,7,Somewhat agree,6,Strongly agree,7,Strongly agree,1,Nil,Strongly agree,Nil,Somewhat agree,Somewhat agree,Nil,Neither agree/nor disagree,28,Male,"Everyday, during a majority of business hours","Everyday, a few hours",Action and Adventurous games,A mouse,Nil,Mouse buttons,Nil,Nil,Somewhat agree,Strongly agree,Somewhat agree,Nil,jQ1DPQGWHgTvWphKLDncIwY02ls1,-MGt2C_M2LSpjjWOL0Gx,targetdrag,click,targetdrag-click
183,6,4,5,5,5,5,6,4,6,4,6,Somewhat agree,4,Strongly agree,6,Somewhat agree,4,i clearly watched the full vedio in this vedio practically how can the improved to be more intutive all of the details had in their,Somewhat agree,i had followed to my fullen full hard work so easily to interface be improved to allow faster control of the object,Somewhat agree,Somewhat agree,depends on my concentration.,Somewhat agree,26,Female,"Everyday, a few hours","Everyday, less than an hour",super mario,A mouse,a mouse was comfortable to working on the computer and easily to copy and paste,Mouse buttons,mouse button are comfortable to the working time.,depends on my lisening,Somewhat agree,Somewhat agree,Strongly agree,i think learning to easy tricks methods.,jnorE4SQ5ZcgHyVQ7EmhBis30cj1,-MGzbbKIRs889h_lPtiS,targetdrag,press/release,targetdrag-press/release
